question_id,question_link,Topic,marks,time,answer_link,answer_id
20P1ALVJ2ALVQ1.a,https://drive.google.com/open?id=1Ndcm8_CXt5eo0VMsX-yREVHEn07NGIFE&disco=AAAAN807lag,OOP,12,21,https://drive.google.com/open?id=1YHAwiLbQ1dMU_xENi_06kk5Lp3GEcCko&disco=AAAAY5uEL4w,A20P1ALVJ2ALVQ1.a
20P1NYJJ2PREQ1.a,https://docs.google.com/document/d/1629iZKEiJgzxdm8eYOzAbOiEIolqnA9f/edit?disco=AAAAZH4MdBo,sorting algorithms theory,4,7,https://docs.google.com/document/d/1ppqGJiSWsCNLZkAHYeQvU8odBEFzafob/edit?disco=AAAAZaKlGfM,A20P1NYJJ2PREQ1.a
20P1NYJJ2PREQ1.bc,https://docs.google.com/document/d/1629iZKEiJgzxdm8eYOzAbOiEIolqnA9f/edit?disco=AAAAb45PuPI,sorting algorithms theory,4,7,https://docs.google.com/document/d/1ppqGJiSWsCNLZkAHYeQvU8odBEFzafob/edit?disco=AAAAZaKlGfQ,A20P1NYJJ2PREQ1.bc
20P1NYJJ2PREQ2.a,https://docs.google.com/document/d/1629iZKEiJgzxdm8eYOzAbOiEIolqnA9f/edit?disco=AAAAb45PuPI,Binary Search Tree,2,4,https://docs.google.com/document/d/1ppqGJiSWsCNLZkAHYeQvU8odBEFzafob/edit?disco=AAAAZJMSlMw,A20P1NYJJ2PREQ2.a
20P1NYJJ2PREQ2.b,https://docs.google.com/document/d/1629iZKEiJgzxdm8eYOzAbOiEIolqnA9f/edit?disco=AAAAN9tscuw,Binary Search Tree,3,5,https://docs.google.com/document/d/1ppqGJiSWsCNLZkAHYeQvU8odBEFzafob/edit?disco=AAAAZJMSlM0,A20P1NYJJ2PREQ2.b
20P1NYJJ2PREQ2.c,https://docs.google.com/document/d/1629iZKEiJgzxdm8eYOzAbOiEIolqnA9f/edit?disco=AAAAb45PuPU,Binary Search Tree,5,9,https://docs.google.com/document/d/1ppqGJiSWsCNLZkAHYeQvU8odBEFzafob/edit?disco=AAAAZjieHQo,A20P1NYJJ2PREQ2.c
17P2ALVJ2ALVQ2.ai,https://docs.google.com/document/d/1GjaR_6bCcYEWCJqm8Dga_71CLJVanIYQ/edit?disco=AAAAZh9Nj_4,Networks Fundamentals,2,3,https://docs.google.com/document/d/13IPRozbvKlYLqr7OCH7UDGYWMsUZVS1R/edit?disco=AAAAZKcpNPQ,A17P2ALVJ2ALVQ2.ai
17P2ALVJ2ALVQ2.aii,https://docs.google.com/document/d/1GjaR_6bCcYEWCJqm8Dga_71CLJVanIYQ/edit?disco=AAAAZh9Nj_8,Networks Fundamentals,2,3,https://docs.google.com/document/d/13IPRozbvKlYLqr7OCH7UDGYWMsUZVS1R/edit?disco=AAAAZKcpNPU,A17P2ALVJ2ALVQ2.aii
17P2ALVJ2ALVQ2.b,https://docs.google.com/document/d/1GjaR_6bCcYEWCJqm8Dga_71CLJVanIYQ/edit?disco=AAAAZh9NkAA,Networks Fundamentals,2,3,https://docs.google.com/document/d/13IPRozbvKlYLqr7OCH7UDGYWMsUZVS1R/edit?disco=AAAAZKcpNPk,A17P2ALVJ2ALVQ2.b
17P2ALVJ2ALVQ2.c,https://docs.google.com/document/d/1GjaR_6bCcYEWCJqm8Dga_71CLJVanIYQ/edit?disco=AAAAZh9NkAE,Networks Fundamentals,2,3,https://docs.google.com/document/d/13IPRozbvKlYLqr7OCH7UDGYWMsUZVS1R/edit?disco=AAAAZKcpNPs,A17P2ALVJ2ALVQ2.c
17P2ALVJ2ALVQ2.d,https://docs.google.com/document/d/1GjaR_6bCcYEWCJqm8Dga_71CLJVanIYQ/edit?disco=AAAAZh9NkAI,Networks Fundamentals,2,3,https://docs.google.com/document/d/13IPRozbvKlYLqr7OCH7UDGYWMsUZVS1R/edit?disco=AAAAZKcpNP0,A17P2ALVJ2ALVQ2.d
19P2RVHSJ2PREQ1.b,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_2I,Flowchart,5,9,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhIE,A19P2RVHSJ2PREQ1.b
19P2RVHSJ2PREQ2.a,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_2M,"Social, Ethical, Legal and Economic Issues",2,3,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhIM,A19P2RVHSJ2PREQ2.a
19P2RVHSJ2PREQ2.b,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_2Q,Decision Tables,5,9,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhIQ,A19P2RVHSJ2PREQ2.b
19P2RVHSJ2PREQ4,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_48,Pseudocode,5,9,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhIc,A19P2RVHSJ2PREQ4
19P2RVHSJ2PREQ5.a-j,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_5w,Networks Fundamentals,10,18,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhIA,A19P2RVHSJ2PREQ5.a-j
19P2RVHSJ2PREQ6.a,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_3U,sorting algorithms theory,1,1,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhIo,A19P2RVHSJ2PREQ6.a
19P2RVHSJ2PREQ6.b,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_3Y,Trace Tables,3,5,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhIs,A19P2RVHSJ2PREQ6.b
19P2RVHSJ2PREQ6.c,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_3c,Big-O notation,1,1,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhIw,A19P2RVHSJ2PREQ6.c
19P2RVHSJ2PREQ6.d-f,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_58,Linear/binary search,5,9,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhI0,A19P2RVHSJ2PREQ6.d-f
19P2RVHSJ2PREQ7.a-b,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_6A,"Errors, Testing & Debugging",6,10,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhI4,A19P2RVHSJ2PREQ7.a-b
19P2RVHSJ2PREQ7.c-e,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_6E,ASCII and Unicode,5,9,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhI8,A19P2RVHSJ2PREQ7.c-e
19P2RVHSJ2PREQ8.a,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_6o,Database Theory (SQL & NoSQL),2,3,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhKQ,A19P2RVHSJ2PREQ8.a
19P2RVHSJ2PREQ8.b,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_6w,Data privacy & PDPA,2,3,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhKU,A19P2RVHSJ2PREQ8.b
19P2RVHSJ2PREQ8.c-g,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_60,Database Theory (SQL & NoSQL),21,37,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhKY,A19P2RVHSJ2PREQ8.c-g
19P2RVHSJ2PREQ8.h,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_6g,"Social, Ethical, Legal and Economic Issues",3,5,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhKI,A19P2RVHSJ2PREQ8.h
19P2RVHSJ2PREQ9a-d,https://docs.google.com/document/d/1WKbnwpUHuLQPp03AG1f339iBDPe1E0zS/edit?disco=AAAAcj4C_64,OOP,11,19,https://docs.google.com/document/d/1tNIYelFODdE78tYwCVSq4gWPHCd7_i22/edit?disco=AAAAb5KlhKc,A19P2RVHSJ2PREQ9a-d
19P2NYJJ2PREQ1,https://docs.google.com/document/d/1vThOJ3eWR5EfDXqyExITb7IrCd6B59nN/edit?disco=AAAAcioLomk,Database Theory (SQL & NoSQL),15,27,https://docs.google.com/document/d/1_zsWFLACSIG_fL_kK4JPOWYiUsgpAetz/edit?disco=AAAAb5OFrtU,A19P2NYJJ2PREQ1
19P2NYJJ2PREQ2,https://docs.google.com/document/d/1vThOJ3eWR5EfDXqyExITb7IrCd6B59nN/edit?disco=AAAAcioLomw,Stack,18,32,https://docs.google.com/document/d/1_zsWFLACSIG_fL_kK4JPOWYiUsgpAetz/edit?disco=AAAAb5OFrto,A19P2NYJJ2PREQ2
19P2NYJJ2PREQ3,https://docs.google.com/document/d/1vThOJ3eWR5EfDXqyExITb7IrCd6B59nN/edit?disco=AAAAcioLom0,Networks Fundamentals,18,32,https://docs.google.com/document/d/1_zsWFLACSIG_fL_kK4JPOWYiUsgpAetz/edit?disco=AAAAb5OFrtg,A19P2NYJJ2PREQ3
19P2NYJJ2PREQ4.a,https://docs.google.com/document/d/1vThOJ3eWR5EfDXqyExITb7IrCd6B59nN/edit?disco=AAAAcioLom4,Decision Tables,5,9,https://docs.google.com/document/d/1_zsWFLACSIG_fL_kK4JPOWYiUsgpAetz/edit?disco=AAAAb5OFrts,A19P2NYJJ2PREQ4.a
19P2NYJJ2PREQ4.b,https://docs.google.com/document/d/1vThOJ3eWR5EfDXqyExITb7IrCd6B59nN/edit?disco=AAAAcioLonI,Data privacy & PDPA,6,10,https://docs.google.com/document/d/1_zsWFLACSIG_fL_kK4JPOWYiUsgpAetz/edit?disco=AAAAb5OFrtw,A19P2NYJJ2PREQ4.b
19P2NYJJ2PREQ5.b-c,https://docs.google.com/document/d/1vThOJ3eWR5EfDXqyExITb7IrCd6B59nN/edit?disco=AAAAcioLopE,OOP,17,30,https://docs.google.com/document/d/1_zsWFLACSIG_fL_kK4JPOWYiUsgpAetz/edit?disco=AAAAb5OFrt0,A19P2NYJJ2PREQ5.b-c
19P2NYJJ2PREQ6,https://docs.google.com/document/d/1vThOJ3eWR5EfDXqyExITb7IrCd6B59nN/edit?disco=AAAAcioLopg,Linked List,13,23,https://docs.google.com/document/d/1_zsWFLACSIG_fL_kK4JPOWYiUsgpAetz/edit?disco=AAAAb5OFrt4,A19P2NYJJ2PREQ6
19P2HCIJ2PREQ4.a,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl8o,Data Validation and verification,3,5,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAb5ZJS44,A19P2HCIJ2PREQ4.a
19P2HCIJ2PREQ4.d-e,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl8s,"Social, Ethical, Legal and Economic Issues",4,7,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAb5ZJS48,A19P2HCIJ2PREQ4.d-e
19P2HCIJ2PREQ5,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl8w,Decision Tables,6,10,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAb5ZJS5E,A19P2HCIJ2PREQ5
19P2HCIJ2PREQ6,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl80,Database Theory (SQL & NoSQL),20,36,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAb5ZJS5I,A19P2HCIJ2PREQ6
19P2HCIJ2PREQ7,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl-E,Binary Search Tree,15,27,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAbvYky38,A19P2HCIJ2PREQ7
19P2HCIJ2PREQ8,https://docs.google.com/document/d/1jQCqzBHkSzr3A_v3Vb9K7Y_KPxWaXnsP/edit?disco=AAAAclDvl-I,Quick sort,7,12,https://docs.google.com/document/d/1bRc-BxhQjg2HM_e9u5_Okc3QQaFDdcFD/edit?disco=AAAAb5ZJS5U,A19P2HCIJ2PREQ8
19P2JPJJ2PREQ3,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WL0,Linear/binary search,8,14,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshrU,A19P2JPJJ2PREQ3
19P2JPJJ2PREQ4,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WL4,OOP,5,9,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshrY,A19P2JPJJ2PREQ4
19P2JPJJ2PREQ6a-b,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WL8,Database Theory (SQL & NoSQL),10,18,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshrc,A19P2JPJJ2PREQ6a-b
19P2JPJJ2PREQ6d,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WMA,Decision Tables,6,10,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshro,A19P2JPJJ2PREQ6d
19P2JPJJ2PREQ7a,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAbvWV-a8,ASCII and Unicode,2,3,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAbvkiWhI,A19P2JPJJ2PREQ7a
19P2JPJJ2PREQ7b-c,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAbvWV-bA,"Denary, binary and hexadecimals",4,7,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAbvkiWhQ,A19P2JPJJ2PREQ7b-c
19P2JPJJ2PREQ8.a,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WMU,Linked List,5,9,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshrw,A19P2JPJJ2PREQ8.a
19P2JPJJ2PREQ8.b,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WMY,Queue,5,9,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshr0,A19P2JPJJ2PREQ8.b
19P2JPJJ2PREQ9,https://docs.google.com/document/d/1nfe8Auwoika3bDLe4IEGNjAklWu_YfL-/edit?disco=AAAAckF2WMM,Binary Search Tree,10,18,https://docs.google.com/document/d/18ARgecMaE1ll0uV1Xee13mjAHjeEUkpH/edit?disco=AAAAckAshr4,A19P2JPJJ2PREQ9
19P2DHSJ2PREQ2,https://docs.google.com/document/d/1XCJLTi21w0zO7NCW0f9Gf3KPH889UijD/edit?disco=AAAAclcrkZY,Algorithm design and control structures,10,18,https://docs.google.com/document/d/1JiT6Nplv7XkQaWBdAmH1aP5FLEA_YKlI/edit?disco=AAAAbvfYNJk,A19P2DHSJ2PREQ2
19P2DHSJ2PREQ3,https://docs.google.com/document/d/1XCJLTi21w0zO7NCW0f9Gf3KPH889UijD/edit?disco=AAAAclcrkZs,Binary Search Tree,10,18,https://docs.google.com/document/d/1JiT6Nplv7XkQaWBdAmH1aP5FLEA_YKlI/edit?disco=AAAAbvfYNJo,A19P2DHSJ2PREQ3
19P2DHSJ2PREQ5,https://docs.google.com/document/d/1XCJLTi21w0zO7NCW0f9Gf3KPH889UijD/edit?disco=AAAAclcrkZ0,OOP,12,21,https://docs.google.com/document/d/1JiT6Nplv7XkQaWBdAmH1aP5FLEA_YKlI/edit?disco=AAAAbvfYNJs,A19P2DHSJ2PREQ5
19P2DHSJ2PREQ6,https://docs.google.com/document/d/1XCJLTi21w0zO7NCW0f9Gf3KPH889UijD/edit?disco=AAAAclcrkZ4,Database Theory (SQL & NoSQL),15,27,https://docs.google.com/document/d/1JiT6Nplv7XkQaWBdAmH1aP5FLEA_YKlI/edit?disco=AAAAbvfYNLg,A19P2DHSJ2PREQ6